Frame,p1xaxis,p1yaxis,p2xaxis,p2yaxis,p3xaxis,p3yaxis,tree1,tree2,tree3,AB,BC
528,94,240,408,239,651,163,200,200,100,150,50
529,94,240,408,239,651,163,200,100,100,150,50
530,94,241,408,239,651,163,200,100,100,150,50
531,95,241,408,239,651,163,200,100,100,150,50
532,95,240,408,239,651,163,200,100,100,150,50
533,94,239,408,239,651,163,200,100,100,150,50
534,94,239,408,239,651,163,200,100,100,150,50
535,93,238,408,239,651,163,200,100,100,150,50
536,93,238,408,239,651,163,200,100,100,150,50
537,94,239,408,239,651,163,200,100,100,150,50
538,94,239,408,239,651,163,200,100,100,150,50
539,95,239,408,239,651,163,200,100,100,150,50
540,95,239,408,239,651,163,200,100,100,150,50
541,94,240,408,239,651,163,200,100,100,150,50
542,94,240,408,239,651,163,200,100,100,150,50
543,94,241,408,239,651,163,200,100,100,150,50
544,94,241,408,239,651,163,200,100,100,150,50
545,95,241,408,239,651,163,200,100,100,150,50
546,95,241,408,239,651,163,200,100,100,150,50
547,95,242,408,239,651,163,200,100,100,150,50
548,95,242,408,239,651,163,200,100,100,150,50
549,96,241,408,239,651,163,200,100,100,150,50
550,96,241,408,239,651,163,200,100,100,150,50
551,95,241,408,239,651,163,200,100,100,150,50
552,95,241,408,239,651,163,200,100,100,150,50
553,96,240,408,239,651,163,200,100,100,150,50
554,96,241,408,239,651,163,200,100,100,150,50
555,96,241,408,239,651,163,200,100,100,150,50
556,96,241,408,239,651,163,200,100,100,150,50
557,95,242,406,241,651,163,200,200,100,150,50
558,96,242,406,241,651,163,200,200,100,150,50
559,95,241,406,241,651,163,200,100,100,150,50
560,95,241,406,241,651,163,200,100,100,150,50
561,96,242,406,241,651,163,200,100,100,150,50
562,95,241,406,241,651,163,200,100,100,150,50
563,95,241,406,241,651,163,200,100,100,150,50
564,95,241,406,241,651,163,200,100,100,150,50
565,95,242,406,243,651,163,200,200,100,150,50
566,95,241,406,243,651,163,200,200,100,150,50
567,95,241,406,243,651,163,200,100,100,150,50
568,95,241,406,243,651,163,200,100,100,150,50
569,96,242,406,243,651,163,200,100,100,150,50
